WKT,Long,Lat,naam,beschrijving,Lon (value),Lat (value)
POINT (10.016400337219238 45.13970184326172),10.016400337219238,45.13970184326172,Biblioteca del Dipartimento di Scienze Musicologiche e Paleografico - Filologiche dell'Università degli Studi di Pavia,,10.016400337219238,45.13970184326172
POINT (10.009886 45.1381462),10.009886,45.1381462,Corso Garibaldi,49,10.009886,45.1381462
POINT (10.023699760437012 45.13529968261719),10.023699760437012,45.13529968261719,Monumento Amilcare Ponchielli,,10.023699760437012,45.13529968261719
POINT (10.0226839 45.147625),10.0226839,45.147625,Via Ugolani Dati,13,10.0226839,45.147625
POINT (10.023500442504883 45.13349914550781),10.023500442504883,45.13349914550781,Monumento Antonio Stradivari,,10.023500442504883,45.13349914550781
POINT (10.025199890136719 45.1338005065918),10.025199890136719,45.1338005065918,Largo Boccaccino,12,10.025199890136719,45.1338005065918
